,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Luke Glendening,DET,RW,21,4,1,5,-7,2,33,1,0,0,1,0,61,25
Ryan Pulock,NYI,D,29,4,11,15,1,4,63,2,1,3,0,0,33,56
Austin Watson,NSH,LW,29,4,5,9,2,40,31,1,0,0,0,2,64,30
Nick Foligno,CLS,LW,27,4,9,13,-9,26,51,0,2,1,0,1,84,17
Darren Helm,DET,C,31,4,3,7,3,27,43,0,0,0,0,1,33,15
David Kampf,CHI,RW,31,4,3,7,-9,4,47,1,0,0,1,0,28,15
Casey Mittelstadt,BUF,C,31,4,5,9,-5,2,34,1,1,1,0,0,11,8
Garnet Hathaway,WAS,RW,30,4,5,9,2,47,33,0,0,0,0,1,81,19
Zach Aston-Reese,PIT,C,31,4,3,7,3,16,62,0,0,0,1,0,70,17
Alexander Nylander,CHI,RW,30,4,7,11,-9,6,50,1,0,2,0,0,12,7
Nino Niederreiter,CAR,RW,31,4,9,13,-6,22,48,1,2,2,0,0,22,11
Alexander Edler,VAN,D,27,4,11,15,-5,34,61,1,1,5,0,0,54,80
Teddy Blueger,PIT,C,31,3,5,8,-2,17,43,1,0,0,0,2,41,17
Antoine Roussel,VAN,LW,3,3,0,3,2,4,9,0,0,0,0,0,7,2
Matt Roy,LA,D,32,3,6,9,2,4,53,0,0,0,0,0,45,51
